File Type,Files Deleted,Files Created,Files Written,Directories Created,Opened REG keys,DLLs Loaded,Hosts,VirusTotal
6,0,0,0,0,0,3,0,0
1,0,6,4,8,277,19,4,0
6,8,6,7,15,309,74,0,0
6,0,0,0,1,185,15,0,0
6,5,71,70,11,524,49,0,0
6,0,0,0,1,185,15,0,0
3,0,0,0,0,2,7,4,40
2,0,0,0,0,1,20,3,57
6,0,0,0,0,1,1,0,0
6,0,0,0,1,186,16,0,0
6,0,0,0,0,0,4,0,0
6,0,0,0,2,9,3,0,0
6,0,5,6,13,524,30,0,0
1,0,15,13,12,468,18,3,53
0,0,0,0,0,7,20,3,55
6,29,6,3,9,387,54,0,0
6,0,7,9,4,71,20,0,0
3,0,0,0,0,2,7,3,47
5,0,5,4,1,2,12,3,60
2,0,0,0,0,1,19,3,59
6,0,0,0,0,0,6,0,0
5,0,5,4,1,2,12,3,44
6,4,4,5,15,198,69,0,0
3,0,0,0,0,2,7,4,40
0,2,2,0,0,7,22,3,60
6,0,0,0,0,0,0,0,0
1,1,1,0,2,282,16,4,42
6,0,0,0,0,0,2,0,0
4,0,0,0,0,3,2,4,39
6,0,0,0,0,12,4,0,0
6,0,2,2,3,43,18,0,0
6,0,1,1,0,27,13,0,0
6,0,0,0,1,186,16,0,0
6,0,0,0,1,186,16,0,0
2,0,0,0,0,0,18,3,56
2,0,0,0,0,1,20,3,59
6,0,1,1,0,0,10,0,0
6,1,1,0,0,2,19,0,0
6,0,0,0,1,186,16,0,0
6,0,69,69,30,17,10,0,0
6,29,8,5,9,288,25,0,0
3,0,0,0,0,2,7,3,42
6,0,0,0,0,23,26,0,0
5,0,2,1,0,1,8,4,39
2,0,0,0,0,2,20,3,60
5,0,5,4,1,2,12,3,64
2,0,1,1,0,2,27,3,56
5,0,2,1,0,1,8,4,40
1,0,14,12,12,468,18,4,55
6,0,0,0,0,10,9,0,0
3,0,0,0,0,2,7,3,43
0,0,1,0,0,5,18,3,55
1,0,0,1,0,0,8,1,53
2,0,0,0,0,13,21,3,59
5,0,5,4,1,2,12,2,0
6,0,3,3,4,279,21,0,0
2,0,9,7,8,272,24,5,56
6,1,33,33,11,156,36,0,0
3,0,0,0,0,2,7,3,42
6,0,0,0,0,6,5,0,0
6,2,8,6,8,285,21,0,0
6,2,2,1,5,244,26,0,0
6,0,0,0,0,0,0,0,0
0,0,1,1,0,0,2,3,57
6,1,1,0,0,9,8,0,0
3,0,0,0,0,2,7,5,41
1,0,11,9,12,297,21,3,51
0,0,0,0,0,3,0,0,58
5,0,5,4,1,2,12,3,48
1,0,12,10,18,332,28,3,40
6,0,0,0,0,4,1,0,0
6,0,0,0,0,7,8,0,0
6,0,1,0,0,37,34,0,0
6,0,12,12,1,15,18,0,0
6,0,1,0,8,701,27,0,0
2,0,0,0,0,37,27,3,63
6,0,0,0,1,186,16,0,0
3,0,0,0,0,2,7,4,39
6,0,0,0,0,1,11,0,0
6,0,0,0,0,0,1,0,0
3,0,0,0,0,2,5,3,44
1,0,1,0,2,272,13,3,56
6,0,7,7,0,0,4,0,0
6,0,0,0,0,62,30,0,0
6,1,3,2,5,301,30,0,0
6,0,1,1,0,19,5,0,0
6,0,0,0,0,3,0,0,0
6,0,1,1,7,70,33,0,0
0,0,0,0,0,8,18,3,54
6,0,3,3,7,77,25,0,0
6,0,0,0,0,13,20,0,0
3,0,0,0,0,2,7,3,44
6,1,73,72,2,0,4,0,0
2,0,0,0,0,2,20,3,59
1,3,4,4,4,27,18,3,52
0,0,0,0,0,5,18,3,54
6,0,0,0,0,0,0,0,0
5,0,5,4,1,2,12,3,44
6,1,2,1,1,10,17,0,0
5,0,7,7,1,11,20,4,41
6,0,0,0,0,12,6,0,0
6,0,1,1,0,39,16,0,0
5,0,2,1,0,1,8,3,60
3,0,0,0,0,2,7,3,39
3,0,0,0,0,2,5,4,40
3,0,0,0,0,2,7,2,39
6,0,0,0,0,0,6,0,0
6,6,58,60,8,78,51,0,0
6,0,0,0,0,4,7,0,0
6,0,0,0,0,12,4,0,0
4,0,0,0,0,2,6,3,33
0,0,0,0,0,5,15,3,57
6,1,1,1,1,4,8,0,0
1,0,1,0,2,272,13,3,52
6,0,0,0,0,14,6,0,0
6,0,0,0,0,2,0,0,0
0,0,1,1,0,11,31,3,54
3,0,0,0,0,2,7,3,41
6,1,1,0,2,283,17,0,0
6,1,1,0,2,280,14,0,0
3,0,0,0,0,2,7,3,41
4,0,0,0,0,18,5,3,33
6,0,0,0,1,0,7,0,0
6,0,0,0,1,186,16,0,0
3,0,0,0,0,2,7,3,39
6,0,2,2,7,75,27,0,0
6,0,0,0,0,3,0,0,0
5,0,5,4,1,2,9,3,65
4,0,0,0,0,0,0,3,33
1,0,1,0,2,272,13,3,53
1,1,0,0,0,0,0,5,60
6,0,2,0,2,87,28,0,0
3,0,0,0,0,2,5,4,38
3,0,0,0,0,2,7,4,41
3,0,0,0,0,2,5,4,41
6,1,2,1,1,10,17,0,0
6,7,8,8,10,50,67,0,0
0,0,0,0,0,5,18,3,59
6,0,0,0,0,31,29,0,0
6,0,0,0,0,4,5,0,0
6,2,7,4,12,285,18,0,0
3,0,0,0,0,2,7,3,41
0,0,0,0,0,5,18,3,57
6,0,1,1,0,0,10,0,0
6,3,0,0,0,46,21,0,0
4,0,0,0,0,1,0,3,33
1,0,8,6,14,662,18,4,55
6,0,0,0,1,186,16,0,0
6,2,8,6,8,284,22,0,0
2,0,0,0,0,3,18,3,59
4,0,0,0,0,10,5,4,41
2,0,0,0,0,3,16,3,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,31,29,0,0
2,0,0,0,0,2,20,3,57
6,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0
5,0,5,4,1,2,9,3,60
0,1,0,0,1,4,14,3,59
1,3,2,3,0,7,5,5,62
4,0,0,0,0,16,10,3,41
4,0,0,0,0,1,0,3,47
1,0,1,0,2,272,13,3,52
6,0,0,0,1,186,16,0,0
0,0,0,0,0,4,17,3,55
2,0,0,0,0,0,1,3,61
6,0,0,0,0,12,4,0,0
6,0,0,0,0,3,11,0,0
6,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,2,37
6,0,138,136,4,73,46,0,0
6,0,0,0,1,186,16,0,0
6,0,1,1,0,23,22,0,0
2,0,0,0,0,2,20,3,61
0,0,1,1,0,2,5,3,53
1,0,1,0,2,272,13,4,49
0,0,0,0,0,0,1,5,61
0,0,1,1,0,3,26,4,53
1,0,16,14,12,468,18,5,56
6,0,131,131,12,14,12,0,0
1,0,0,0,0,31,25,4,54
5,0,5,4,1,2,9,3,40
5,0,5,4,1,2,12,4,44
1,0,0,0,0,3,4,4,47
6,0,1,0,3,273,12,0,0
6,0,2,2,3,20,14,0,0
6,0,0,0,0,0,0,0,0
6,8,6,7,15,309,74,0,0
6,0,1,1,1,32,8,0,0
1,0,1,0,2,272,13,3,53
6,0,2,0,0,0,1,0,0
3,0,0,0,0,2,7,3,40
6,0,48,50,28,228,66,0,0
2,2,1,1,1,163,24,3,61
1,0,0,0,0,4,1,4,50
6,8,8,9,15,371,76,0,0
5,0,5,4,1,2,12,3,60
3,0,0,0,0,2,7,3,42
3,0,0,0,0,2,5,1,42
6,0,1,1,6,60,33,0,0
6,0,1,1,0,0,0,0,0
0,0,1,1,0,0,3,3,52
6,0,0,0,1,186,16,0,0
6,0,0,0,2,75,17,0,0
5,0,5,4,1,2,9,3,60
6,0,1,1,0,1,8,0,0
4,0,0,0,0,3,5,3,54
6,0,0,0,0,10,6,0,0
3,0,0,0,0,2,7,3,40
6,0,0,0,0,1,0,0,0
6,0,0,0,0,25,3,0,0
6,0,14,14,7,8,20,0,0
0,0,0,0,0,5,18,5,59
2,0,0,0,0,2,20,3,58
6,0,0,0,0,9,9,0,0
6,1,1,0,6,12,9,0,0
6,1,1,0,1,1,1,0,0
5,0,2,1,0,1,8,4,37
6,0,0,0,1,176,22,0,0
6,0,2,1,0,4,7,0,0
1,25,4,4,0,17,2,3,59
6,8,8,9,15,371,76,0,0
6,0,0,0,0,0,2,0,0
2,0,0,0,0,1,20,6,60
0,0,1,1,0,0,2,5,52
6,0,6,4,6,11,9,0,0
6,0,10,6,5,11,11,0,0
3,0,0,0,0,2,7,3,42
6,0,0,0,0,6,18,0,0
6,1,33,33,11,156,36,0,0
6,0,0,0,1,186,16,0,0
6,0,0,0,0,8,4,0,0
6,0,0,0,1,186,16,0,0
3,0,0,0,0,2,7,4,54
6,0,0,0,0,0,0,0,0
2,0,0,0,0,2,19,3,58
3,0,0,0,0,2,7,3,54
6,1,1,0,1,6,5,0,0
6,0,0,0,1,317,28,0,0
1,0,1,0,2,272,13,0,51
3,0,0,0,0,2,7,3,41
3,0,0,0,0,2,7,3,40
6,0,1,1,7,69,33,0,0
6,0,0,0,0,0,0,0,0
6,1,5,4,7,14,15,0,0
6,3,4,4,1,5,15,0,0
2,0,1,1,0,8,21,3,58
6,4,5,5,7,66,32,0,0
1,0,15,13,12,468,18,3,55
6,0,0,0,1,185,15,0,0
6,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,3,54
6,0,1,1,4,15,10,0,0
1,2,6,5,10,665,16,3,0
6,0,0,0,5,0,0,0,0
6,2,76,75,24,406,34,0,0
1,0,1,0,2,272,13,4,51
6,0,4,4,0,10,8,0,0
6,0,0,0,0,0,1,0,0
6,19,0,0,0,11,6,0,0
1,1,14,12,12,468,18,3,0
6,0,0,0,0,3,1,0,0
6,1,5,3,2,4,4,0,0
5,0,5,4,1,2,11,4,62
1,0,1,0,2,272,13,3,51
6,0,0,0,0,7,14,0,0
6,0,0,0,1,186,16,0,0
6,0,0,0,0,8,4,0,0
6,1,5,4,7,12,14,0,0
3,0,0,0,0,2,7,3,40
5,0,2,1,0,1,8,3,65
6,0,0,1,1,3,2,0,0
6,0,0,0,0,4,1,0,0
5,0,2,1,0,1,8,3,65
1,0,1,0,2,272,13,3,55
5,0,5,4,1,2,12,3,60
6,1,3,3,8,6,10,0,0
6,0,2,0,2,87,28,0,0
3,0,0,0,0,2,5,3,51
6,3,4,4,1,5,15,0,0
2,0,0,0,0,1,16,3,61
4,0,0,0,3,72,21,3,41
6,0,9,9,4,8,8,0,0
6,0,0,0,0,10,6,0,0
6,0,0,0,1,185,15,0,0
2,0,0,0,0,1,23,3,59
2,0,0,0,0,1,20,3,56
6,0,0,0,0,1,11,0,0
6,0,2,2,7,59,32,0,0
6,0,0,0,0,7,9,0,0
6,0,0,0,1,185,15,0,0
5,0,5,4,1,2,12,3,63
6,19,6,5,12,488,29,0,0
3,0,0,0,0,2,7,3,41
6,0,0,0,0,16,5,0,0
6,0,3,3,0,4,5,0,0
6,15,17,16,1,7,29,0,0
6,2,8,6,8,281,16,0,0
6,4,4,4,1,53,31,0,0
6,0,0,0,1,186,16,0,0
6,4,4,4,1,6,8,0,0
5,0,2,1,0,1,8,4,62
2,0,0,0,0,212,30,3,57
2,0,0,0,0,0,18,3,62
6,0,1,0,2,280,24,0,0
6,1,33,33,11,156,36,0,0
6,6,1,0,2,37,46,0,0
6,0,0,0,0,17,9,0,0
3,0,0,0,0,2,7,4,54
3,0,0,0,0,2,5,3,37
6,0,0,0,0,1,3,0,0
0,3,2,2,0,23,20,3,59
0,3,1,1,0,14,24,3,57
6,1,1,1,1,4,8,0,0
1,2,2,0,0,3,0,3,57
3,0,0,0,0,2,7,4,40
2,0,0,0,0,13,20,3,53
4,0,0,0,0,0,2,3,40
6,0,1,1,7,66,33,0,0
6,0,0,0,0,10,6,0,0
6,0,0,1,0,312,23,0,0
6,0,11,11,7,10,11,0,0
1,0,5,3,12,373,39,3,52
5,0,0,0,0,1,3,3,64
6,0,0,0,0,0,0,0,0
5,0,5,4,1,2,9,5,0
1,0,1,0,2,272,13,4,55
5,0,2,1,0,1,8,3,61
0,2,2,0,0,7,22,3,58
1,0,16,14,12,468,18,3,54
2,0,0,0,0,1,17,3,57
6,1,1,0,0,9,7,0,0
3,0,0,0,0,2,7,2,41
6,0,0,0,0,2,16,0,0
2,1,0,0,1,172,18,3,52
6,0,1,1,7,69,32,0,0
4,0,0,0,0,3,11,2,34
2,0,9,7,8,272,13,5,54
0,0,0,0,0,5,18,3,62
1,0,1,0,2,272,13,5,52
5,0,5,4,1,2,12,4,63
3,0,0,0,0,2,7,3,41
3,0,0,0,0,2,7,3,42
6,1,2,2,4,5,37,0,0
1,0,12,12,1,78,13,4,54
6,0,0,0,0,1,8,0,0
6,2,6,4,8,298,22,0,0
1,0,15,13,12,468,18,3,55
6,0,48,50,28,46,19,0,0
0,0,1,1,0,5,20,3,56
6,29,4,1,9,287,19,0,0
5,0,5,4,1,2,12,3,63
1,0,1,0,2,272,13,3,52
6,0,0,0,0,0,3,0,0
6,0,0,0,0,6,10,0,0
6,6,1,0,3,129,54,0,0
6,0,0,0,1,62,13,0,0
2,0,0,0,0,1,19,3,57
6,0,0,0,0,2,0,0,0
6,0,49,51,28,228,70,0,0
6,6,7,7,3,7,10,0,0
3,0,0,0,0,2,7,4,40
6,0,41,41,33,25,31,0,0
0,0,0,0,0,3,0,3,56
3,0,0,0,0,2,5,4,41
1,3,4,4,4,27,18,3,51
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
2,0,0,0,1,2,26,3,58
3,0,0,0,0,2,5,4,42
6,0,0,0,0,0,6,0,0
1,0,1,0,2,272,13,3,53
1,0,15,13,12,468,18,5,56
1,0,4,4,0,6,6,3,52
6,0,0,0,0,0,2,0,0
6,2,7,5,10,286,30,0,0
6,0,2,0,2,87,28,0,0
2,0,0,0,0,2,20,3,61
6,0,2,2,5,113,31,0,0
2,0,0,0,0,1,20,3,60
6,0,0,0,0,0,0,0,0
6,1,2,2,3,11,15,0,0
6,1,3,3,1,21,16,0,0
6,0,0,0,0,0,0,0,0
6,1,5,4,7,12,14,0,0
3,0,0,0,0,2,5,3,49
6,0,0,0,1,186,16,0,0
6,0,0,0,1,186,16,0,0
6,1,5,4,1,0,4,0,0
3,0,0,0,0,2,7,3,42
1,0,16,14,12,468,18,3,56
6,1,1,0,2,284,17,0,0
4,0,0,0,0,0,1,3,39
6,0,2,0,2,87,28,0,0
5,0,5,4,1,2,12,3,62
6,0,0,0,1,186,16,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,2,5,2,0,0
5,0,2,1,0,1,8,4,48
1,31,9,10,1,546,12,5,61
6,0,0,0,0,4,5,0,0
